EAN,Quantity,Price
9780134178967,10,$56.81
9780134178974,3,$15.0
9780134179018,22,$30.7
9780134179025,8,$106.02
9780134179032,40,$106.02
9780134179056,22,$107.57
9780134181981,27,$105.62
9780134182445,4,$93.38
9780134182728,4,$72.3
9780134182742,10,$118.08
9780134183268,38,$48.12
9780134183640,44,$85.86
9780134184814,56,$81.45
9780134184951,34,$66.21
9780134184968,26,$36.5
9780134184975,20,$77.85
9780134185255,5,$68.03
9780134195421,17,$86.94
9780134196176,64,$53.8
9780134201665,10,$111.76
9780134201849,3,$21.84
9780134202037,12,$78.66
9780134202044,38,$40.42
9780134204581,22,$67.5
9780134204925,27,$126.99
9780134205571,90,$95.52
9780134206233,61,$86.94
9780134206318,57,$110.07
9780134206325,211,$85.5
9780134206332,133,$44.75
9780134215037,14,$120.96
9780134217420,19,$91.8
9780134217451,44,$84.12
9780134219929,42,$79.29
9780134225890,46,$107.64
9780134225906,43,$97.41
9780134226996,13,$50.07
9780134235455,75,$97.75
9780134237473,35,$89.46
9780134238241,51,$119.01
9780134238739,54,$80.01
9780134240220,3,$46.35
9780134240831,43,$80.15
9780134254159,7,$31.23
9780134255163,77,$54.27
9780134255187,36,$21.3
9780134255460,58,$40.59
9780134255583,87,$53.76
9780134257006,3,$27.8
9780134260280,6,$32.23
9780134283814,32,$25.83
9780134289106,39,$15.54
9780134290553,4,$110.34
9780134292380,5,$82.15
9780134296548,17,$54.18
9780134297798,32,$40.19
9780134299211,47,$25.83
9780134304083,7,$67.54
9780134306414,3,$36.17
9780134307008,3,$60.19
9780134308890,3,$9.62
9780134318127,82,$28.6
9780134318134,51,$25.59
9780134319056,21,$75.67
9780134319063,7,$82.12
9780134319650,77,$115.74
9780134320250,4,$33.23
9780134320472,4,$65.04
9780134320533,61,$90.99
9780134320779,53,$35.0
9780134320793,51,$78.61
9780134322759,35,$59.49
9780134322766,4,$43.87
9780134324838,25,$105.29
9780134334998,7,$22.53
9780134337456,8,$27.97
9780134337623,4,$61.01
9780134361307,9,$118.35
9780134376042,41,$121.0
9780134378848,15,$50.49
9780134380384,4,$45.56
9780134382593,3,$67.24
9780134397023,7,$18.13
9780134400242,9,$71.1
9780134401072,10,$11.48
9780134402857,11,$62.11
9780134403168,34,$48.24
9780134403298,82,$31.42
9780134403397,49,$39.31
9780134404769,27,$81.09
9780134406350,30,$57.15
9780134407623,17,$110.34
